type,rollup,search_terms,effective_range,review,segment,param_keys,id,updatedOn,param_values,priority,name,redirect_url,filters_normalized,deployed,description,doc_type,attr_external_version_s_,createdOn,external_version_s,enabled,matching,display_type,banner_url,new_id,groups,filters,param_policies
banner,Banner,"Broadband commitment,Neutrality,Open Internet,Broadband policy",,approved,,,1d6b10f2-8034-4981-a726-cfb42a389e6f,2018-04-18T17:43:23.270Z,,1,Corporate Net Neutrality,,,FALSE,,rule,"15\,981\,067\,931\,127\,600\,000\,000\,000\,000\,000\,000\,000",2018-04-18T17:43:23.270Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/searchtrk/?incid=srch_corp_net_neutrality&amp;RichTextMedia=yes&amp;dest=https%3A%2F%2Fwww.verizon.com%2Fabout%2Four-company%2Fverizon-broadband-commitment"" name=""&amp;lid=corp_net_neutrality&amp;lpos=promo"" tabindex=""0"">Verizon Broadband Commitment</a>  <div>Verizon supports the Open Internet\, and is committed to offering services that allow our customers to take full advantage of all of the lawful content and services that the Internet has to offer.</div> </div>",1d6b10f2-8034-4981-a726-cfb42a389e6f,rules-global,,
banner,Banner,"discount,employee discounts,Affinity Discount",,approved,,,022fd325-7ede-429f-9bdf-b81dadfe1ee5,2018-04-18T17:46:21.920Z,,1,Employee Discount,,,FALSE,,rule,"15\,981\,069\,803\,957\,700\,000\,000\,000\,000\,000\,000\,000",2018-04-18T17:45:19.100Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/searchtrk/?incid=srch_employee_discount&amp;RichTextMedia=yes&amp;dest=http%3A%2F%2Fverizonconnections.vzcomportal.com"" tabindex=""0"">Verizon Connections - Fios Discount Program</a>  <div>Verizon Connections offers monthly discounts on Verizon services for employees of participating companies. Sign up now for Fios TV\, phone and Internet.</div> </div>",022fd325-7ede-429f-9bdf-b81dadfe1ee5,rules-global,,
banner,Banner,"google,google.com",,approved,Residential,,e1b4ed05-b884-4fcb-b538-045dd734d307,2018-04-18T22:11:38.040Z,,1,Residential Fios Google Plus,,,FALSE,Residential Fios Google Plus,rule,"15\,981\,236\,770\,685\,500\,000\,000\,000\,000\,000\,000\,000",2018-04-18T22:11:38.040Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/searchtrk/?incid=srch_res_fios_googleplus&amp;RichTextMedia=yes&amp;dest=https%3A%2F%2Fplus.google.com%2F105239496200717206978%2Fposts"" name=""&amp;lid=res_fios_googleplus&amp;lpos=promo"" tabindex=""0"" target=""_blank"">Verizon Fios on Google+</a>  <div>Follow Verizon Fios on Google+.</div> </div>",e1b4ed05-b884-4fcb-b538-045dd734d307,rules-global,,
banner,Banner,"google,google.com",,approved,Residential,,e079e4df-05f2-47e1-b9c6-9b76a1012ca7,2018-04-18T22:11:44.020Z,,1,Residential Fios Google Plus,,,FALSE,Residential Fios Google Plus,rule,"15\,981\,236\,760\,063\,500\,000\,000\,000\,000\,000\,000\,000",2018-04-18T22:11:44.020Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/searchtrk/?incid=srch_res_fios_googleplus&amp;RichTextMedia=yes&amp;dest=https%3A%2F%2Fplus.google.com%2F105239496200717206978%2Fposts"" name=""&amp;lid=res_fios_googleplus&amp;lpos=promo"" tabindex=""0"" target=""_blank"">Verizon Fios on Google+</a>  <div>Follow Verizon Fios on Google+.</div> </div>",e079e4df-05f2-47e1-b9c6-9b76a1012ca7,rules-global,,
banner,Banner,"deals,commercials,promotion,offers,bundles,sales,discount",,approved,,,96be592c-f93a-4408-85dd-6dfe3a04d560,2018-11-20T22:38:12.430Z,,1,Residential Special Offers,,,FALSE,,rule,,2018-04-19T19:02:58.180Z,,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/bundles/fios/?incid=srch_res_specialoffers_lrn&amp;RichTextMedia=yes"" tabindex=""0"">Special Offers for You</a>  <div>Check out our best deals online or build your own bundle.</div> </div>",,rules-global,,
banner,Banner,"speedtest,speed test,speed-test",,approved,Residential,,88062ff1-9fea-4cce-a580-aa1727b5b3e2,2018-04-19T19:03:57.660Z,,1,Residential Speed Test,,,FALSE,Residential Speed Test,rule,"15\,982\,024\,601\,706\,100\,000\,000\,000\,000\,000\,000\,000",2018-04-19T19:03:44.430Z,1.60E+18,TRUE,text,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/speedtest/?incid=srch_res_speedtest"" tabindex=""0"">Check Your Speed</a>  <div>Are you getting upload speeds as fast as your download speeds? Find out your current upload and download speeds.</div> </div>",88062ff1-9fea-4cce-a580-aa1727b5b3e2,rules-global,,
banner,Banner,"webmail,check email,email",,approved,Residential,,1f599e3c-abc7-4adb-8f40-84da8ed24d73,2018-04-18T22:08:32.200Z,,1,Residential Check Email,,,FALSE,Residential Check Email,rule,"15\,981\,234\,749\,114\,900\,000\,000\,000\,000\,000\,000\,000",2018-04-18T22:08:32.200Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/support/residential/email?incid=srch_email&amp;RichTextMedia=yes"" name=""&amp;lid=email&amp;lpos=promo&amp;RichTextMedia=yes"" tabindex=""0"">Check Email</a>  <div>Verizon has retired our email service. Access your AOL or Yahoo email\, or learn more here.</div> </div>",1f599e3c-abc7-4adb-8f40-84da8ed24d73,rules-global,,
banner,Banner,"chat,live chat,complaint,phone number,call support,support,call verizon,customer service",,approved,Residential,,f227f1d5-d339-4828-b478-d7aa75285b59,2018-04-19T20:10:38.400Z,,1,Residential Support Contact,,,FALSE,Residential Support Contact,rule,"15\,982\,066\,546\,707\,000\,000\,000\,000\,000\,000\,000\,000",2018-04-19T19:10:48Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/support/residential/contact-us/homepage.htm?incid=srch_res_support_contact&amp;RichTextMedia=yes"" tabindex=""0"">Contact Us</a>  <div>Contact Verizon Support via live chat or by phone for customer service\, technical support and billing issues.</div> </div>",f227f1d5-d339-4828-b478-d7aa75285b59,rules-global,,
banner,Banner,"change my services,change service,upgrade service,add service,edit services,I wan to change my service",,approved,Residential,,dd7e2dc5-93c9-44f6-9a18-4030e55c9e84,2018-04-19T20:07:47.910Z,,1,Residential URC,,,FALSE,Residential URC,rule,"15\,982\,064\,756\,661\,900\,000\,000\,000\,000\,000\,000\,000",2018-04-19T20:07:47.910Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/searchtrk/? incid=srch_urc&amp;RichTextMedia=yes&amp;dest=https%3A%2F%2Fwww.verizon.com%2FFORYOURHOME%2FORDERING%2FMYVERIZONNEW%2FREGISTRATIONBRIDGE.ASPX%3FFlowRoute%3DURC_ACCOUNTREVIEW%26URCSOURCE%3DSEARCH"" tabindex=""0"">Upgrade &amp; Renewal Center</a>  <div>Add\, change\, upgrade or renew your existing Fios services.</div> </div>",dd7e2dc5-93c9-44f6-9a18-4030e55c9e84,rules-global,,
banner,Banner,"XXXXX,xxxxx",,approved,Residential,,71210b4d-ece0-4080-8ba9-fa0c21405277,2018-04-19T20:20:11.550Z,,1,Residential ZIP Code Searches,,,FALSE,Residential ZIP Code Searches,rule,"15\,982\,072\,553\,883\,500\,000\,000\,000\,000\,000\,000\,000",2018-04-19T20:20:11.550Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div>  <div class=""row border-bottom border-grey-5-active large-padding-left-zero medium-padding-left-tiny small-padding-left-tiny tiny-padding-left-micro""> <div class=""column tiny-12 padding-top-small padding-bottom-tiny large-padding-left-zero medium-padding-left-tiny small-padding-left-tiny tiny-padding-left-tiny""> <div class=""text-xlarge text-grey-2 bold"">It appears you are searching for a ZIP code. Please choose from one of the following options that may be of assistance to you:</div> </div>  <div class=""column tiny-12 large-padding-left-zero medium-padding-left-tiny small-padding-left-tiny tiny-padding-left-tiny""> <ul class=""tiny-block-grid-4 small-block-grid-4 medium-block-grid-5 large-block-grid-5 margin-vert-zero"">         <li class=""padding-left-zero padding-bottom-micro""><a class=""button cta-text normal-weight text-normal"" href=""https://www.verizon.com/support/residential/service-outage?incid=srch_res_zipoption_outage&amp;RichTextMedia=yes"" name=""&amp;lid=res_nfloption_channellineup&amp;lpos=promo"" role=""button"" tabindex=""0"">Outage Information</a></li>   <li class=""padding-bottom-micro""><a class=""button cta-text normal-weight text-normal"" href=""https://www.verizon.com/info/channel-lineup/?incid=srch_res_zipoption_channellineup&amp;RichTextMedia=yes"" name=""&amp;lid=res_nfloption_sportspass&amp;lpos=promo"" role=""button"" tabindex=""0"">TV Guide\, Channel Lineup &amp; Listings</a></li>         <li class=""padding-bottom-micro""><a class=""button cta-text normal-weight text-normal"" href=""https://www.verizon.com/home/Fiosavailability//?incid=srch_res_zipoption_fiosavailability&amp;RichTextMedia=yes&amp;dest=https%3A%2F%2Fwww.verizonwireless.com%2Fnfl%2Fnfl-mobile%2F"" name=""&amp;lid=res_nfloption_nflmobile&amp;lpos=promo"" role=""button"" tabindex=""0"">Fios Availability</a></li>      <li class=""padding-bottom-micro""><a class=""button cta-text normal-weight text-normal"" href=""https://www.verizon.com/home/bundles/fios/?incid=srch_res_zipoption_deals&amp;RichTextMedia=yes"" name=""&amp;lid=res_nfloption_blackouts&amp;lpos=promo"" role=""button"" tabindex=""0"">Local Deals</a></li> </ul> </div> </div> </div>",71210b4d-ece0-4080-8ba9-fa0c21405277,rules-global,,
